block_number, block_name, block_trial_count, block_pairing_definition, study_name, task_number, task_name, trial_number, trial_name, trial_response, trial_latency, trial_error, session_id 
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,8,brian1.jpg|,left,788,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,13,Annoying|,right,835,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,15,Irritating|,right,677,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,1,Irritating|,right,1075,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,16,brian1.jpg|,right,1765,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,1,Annoying|,right,866,0,7310127
6,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,9,Nice|,left,1085,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,7,james2.jpg|,left,556,0,7310127
3,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,0,james1.jpg|,right,1334,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,22,james1.jpg|,right,1050,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,27,Attractive|,left,805,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,16,brian1.jpg|,left,917,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,18,james.jpg|,right,866,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,6,Attractive|,left,750,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,9,Rude|,right,709,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,13,Friendly|,left,1587,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,22,brian.jpg|,right,564,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,27,Kind|,left,677,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,28,james.jpg|,left,627,0,7310127
6,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,12,brian2.jpg|,right,808,0,7310127
3,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,2,brian.jpg|,left,1482,0,7310127
3,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,7,Annoying|,right,1269,0,7310127
3,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,17,Nasty|,right,805,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,20,brian2.jpg|,left,2337,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,6,brian.jpg|,right,853,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,8,james2.jpg|,left,826,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,20,james1.jpg|,left,706,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,31,Nasty|,right,676,0,7310127
6,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,7,Ugly|,right,2796,0,7310127
6,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,15,Attractive|,left,991,0,7310127
3,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,16,brian1.jpg|,left,1301,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,28,james1.jpg|,right,620,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,36,brian2.jpg|,left,819,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,7,Rude|,right,1083,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,4,Nasty|,right,804,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,8,Kind|,left,686,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,30,brian.jpg|,right,629,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,37,Attractive|,left,836,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,38,james2.jpg|,left,528,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,1,james.jpg|,left,681,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,6,brian2.jpg|,right,489,0,7310127
3,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,4,brian1.jpg|,left,975,0,7310127
