task_number	 question_number	 questionnaire_name	 question_name	 question_response	 attempt	 study_name	 session_id
2	0	realstart	target1Name	Brian	1	ybalab.daniel.death1.0001	7310127
2	1	realstart	target2Name	Pierre	1	ybalab.daniel.death1.0001	7310127
2	2	realstart	target1State	dead	1	ybalab.daniel.death1.0001	7310127
2	3	realstart	target2State	dead	1	ybalab.daniel.death1.0001	7310127
2	4	realstart	target1Group	USA	1	ybalab.daniel.death1.0001	7310127
2	5	realstart	target2Group	France	1	ybalab.daniel.death1.0001	7310127
3	1	behaviours	target1State	died last week	1	ybalab.daniel.death1.0001	7310127
3	2	behaviours	target2	Pierre	1	ybalab.daniel.death1.0001	7310127
3	3	behaviours	target1	Brian	1	ybalab.daniel.death1.0001	7310127
3	4	behaviours	target2State	died last week	1	ybalab.daniel.death1.0001	7310127
3	5	behaviours	target1Location	the USA	1	ybalab.daniel.death1.0001	7310127
3	6	behaviours	target1Where	 at his place of work (in 	1	ybalab.daniel.death1.0001	7310127
3	7	behaviours	target2Location	France	1	ybalab.daniel.death1.0001	7310127
3	8	behaviours	target2Where	 in his home (in 	1	ybalab.daniel.death1.0001	7310127
6	1	iat	feedback	Your data suggest a slight implicit preference for Pierre compared to Brian	1	ybalab.daniel.death1.0001	7310127
6	2	iat	score	-0.29	1	ybalab.daniel.death1.0001	7310127
6	3	iat	block3Cond	Pleasant/Pierre,Unpleasant/Brian	1	ybalab.daniel.death1.0001	7310127
8	0	exp	jameslike	3	1	ybalab.daniel.death1.0001	7310127
8	1	exp	jameslikert	13501	1	ybalab.daniel.death1.0001	7310127
8	2	exp	jamesliketrt	13588	1	ybalab.daniel.death1.0001	7310127
8	3	exp	jamestrst	3	1	ybalab.daniel.death1.0001	7310127
8	4	exp	jamestrstrt	5397	1	ybalab.daniel.death1.0001	7310127
8	5	exp	jamestrsttrt	18985	1	ybalab.daniel.death1.0001	7310127
8	6	exp	brianlike	4	1	ybalab.daniel.death1.0001	7310127
8	7	exp	brianlikert	6990	1	ybalab.daniel.death1.0001	7310127
8	8	exp	brianliketrt	25975	1	ybalab.daniel.death1.0001	7310127
8	9	exp	jamesfrnd	3	1	ybalab.daniel.death1.0001	7310127
8	10	exp	jamesfrndrt	5344	1	ybalab.daniel.death1.0001	7310127
8	11	exp	jamesfrndtrt	31319	1	ybalab.daniel.death1.0001	7310127
8	12	exp	briantrst	3	1	ybalab.daniel.death1.0001	7310127
8	13	exp	briantrstrt	7389	1	ybalab.daniel.death1.0001	7310127
8	14	exp	briantrsttrt	38708	1	ybalab.daniel.death1.0001	7310127
8	15	exp	brianfrnd	3	1	ybalab.daniel.death1.0001	7310127
8	16	exp	brianfrndrt	2252	1	ybalab.daniel.death1.0001	7310127
8	17	exp	brianfrndtrt	40960	1	ybalab.daniel.death1.0001	7310127
10	0	mem	jameslive	2	1	ybalab.daniel.death1.0001	7310127
10	1	mem	jameslivert	2511	1	ybalab.daniel.death1.0001	7310127
10	2	mem	jameslivetrt	2587	1	ybalab.daniel.death1.0001	7310127
10	3	mem	brianlive	2	1	ybalab.daniel.death1.0001	7310127
10	4	mem	brianlivert	1728	1	ybalab.daniel.death1.0001	7310127
10	5	mem	brianlivetrt	4315	1	ybalab.daniel.death1.0001	7310127
10	6	mem	jamesname	2	1	ybalab.daniel.death1.0001	7310127
10	7	mem	jamesnamert	2404	1	ybalab.daniel.death1.0001	7310127
10	8	mem	jamesnametrt	6719	1	ybalab.daniel.death1.0001	7310127
10	9	mem	briannational	3	1	ybalab.daniel.death1.0001	7310127
10	10	mem	briannationalrt	2798	1	ybalab.daniel.death1.0001	7310127
10	11	mem	briannationaltrt	9517	1	ybalab.daniel.death1.0001	7310127
10	12	mem	brianname	4	1	ybalab.daniel.death1.0001	7310127
10	13	mem	briannamert	2522	1	ybalab.daniel.death1.0001	7310127
10	14	mem	briannametrt	12039	1	ybalab.daniel.death1.0001	7310127
10	15	mem	jamesnational	1	1	ybalab.daniel.death1.0001	7310127
10	16	mem	jamesnationalrt	2250	1	ybalab.daniel.death1.0001	7310127
10	17	mem	jamesnationaltrt	14289	1	ybalab.daniel.death1.0001	7310127
2	0	realstart	target1Name	Brian	1	ybalab.daniel.death1.0001	7310178
2	1	realstart	target2Name	James	1	ybalab.daniel.death1.0001	7310178
