characteristic	 value	 user_id	 study_name	 
birthmonth	1	103231	ybalab.daniel.death1.0001
religionid	1	103231	ybalab.daniel.death1.0001
zipcode	13219	103231	ybalab.daniel.death1.0001
birthyear	1962	103231	ybalab.daniel.death1.0001
income	2	103231	ybalab.daniel.death1.0001
politicalid	2	103231	ybalab.daniel.death1.0001
engfluency	4	103231	ybalab.daniel.death1.0001
ethnicity	5	103231	ybalab.daniel.death1.0001
occupation	51-9000	103231	ybalab.daniel.death1.0001
education	7	103231	ybalab.daniel.death1.0001
sex	f	103231	ybalab.daniel.death1.0001
religion	none	103231	ybalab.daniel.death1.0001
citizenship	us	103231	ybalab.daniel.death1.0001
residence	us	103231	ybalab.daniel.death1.0001
politicalid	-1	179061	ybalab.daniel.death1.0001
occupation	19-1000	179061	ybalab.daniel.death1.0001
birthyear	1970	179061	ybalab.daniel.death1.0001
income	2	179061	ybalab.daniel.death1.0001
religionid	2	179061	ybalab.daniel.death1.0001
engfluency	4	179061	ybalab.daniel.death1.0001
ethnicity	5	179061	ybalab.daniel.death1.0001
birthmonth	7	179061	ybalab.daniel.death1.0001
zipcode	75038	179061	ybalab.daniel.death1.0001
education	9	179061	ybalab.daniel.death1.0001
sex	m	179061	ybalab.daniel.death1.0001
religion	united methodist church, the	179061	ybalab.daniel.death1.0001
citizenship	us	179061	ybalab.daniel.death1.0001
residence	us	179061	ybalab.daniel.death1.0001
religionid	1	187806	ybalab.daniel.death1.0001
birthyear	1963	187806	ybalab.daniel.death1.0001
politicalid	2	187806	ybalab.daniel.death1.0001
engfluency	4	187806	ybalab.daniel.death1.0001
income	4	187806	ybalab.daniel.death1.0001
ethnicity	5	187806	ybalab.daniel.death1.0001
birthmonth	7	187806	ybalab.daniel.death1.0001
education	9	187806	ybalab.daniel.death1.0001
zipcode	95616	187806	ybalab.daniel.death1.0001
sex	f	187806	ybalab.daniel.death1.0001
religion	none	187806	ybalab.daniel.death1.0001
citizenship	us	187806	ybalab.daniel.death1.0001
residence	us	187806	ybalab.daniel.death1.0001
politicalid	0	189192	ybalab.daniel.death1.0001
birthyear	1960	189192	ybalab.daniel.death1.0001
religionid	2	189192	ybalab.daniel.death1.0001
occupation	25-2000	189192	ybalab.daniel.death1.0001
engfluency	4	189192	ybalab.daniel.death1.0001
income	4	189192	ybalab.daniel.death1.0001
ethnicity	5	189192	ybalab.daniel.death1.0001
birthmonth	6	189192	ybalab.daniel.death1.0001
education	8	189192	ybalab.daniel.death1.0001
zipcode	91001	189192	ybalab.daniel.death1.0001
sex	f	189192	ybalab.daniel.death1.0001
religion	none	189192	ybalab.daniel.death1.0001
citizenship	us	189192	ybalab.daniel.death1.0001
residence	us	189192	ybalab.daniel.death1.0001
politicalid	0	197288	ybalab.daniel.death1.0001
zipcode	14612	197288	ybalab.daniel.death1.0001
birthyear	1986	197288	ybalab.daniel.death1.0001
occupation	25-9999	197288	ybalab.daniel.death1.0001
income	3	197288	ybalab.daniel.death1.0001
religionid	3	197288	ybalab.daniel.death1.0001
engfluency	4	197288	ybalab.daniel.death1.0001
education	5	197288	ybalab.daniel.death1.0001
ethnicity	5	197288	ybalab.daniel.death1.0001
birthmonth	6	197288	ybalab.daniel.death1.0001
sex	f	197288	ybalab.daniel.death1.0001
religion	none	197288	ybalab.daniel.death1.0001
citizenship	us	197288	ybalab.daniel.death1.0001
residence	us	197288	ybalab.daniel.death1.0001
income	1	206866	ybalab.daniel.death1.0001
politicalid	1	206866	ybalab.daniel.death1.0001
birthyear	1971	206866	ybalab.daniel.death1.0001
ethnicityomb	2	206866	ybalab.daniel.death1.0001
religionid	2	206866	ybalab.daniel.death1.0001
engfluency	4	206866	ybalab.daniel.death1.0001
zipcode	58701	206866	ybalab.daniel.death1.0001
